window_start,entry_second,direction,amount,entry_price,btc_at_entry,btc_change_pct,real_poly_up,real_poly_down,actual_outcome,won,pnl,confidence,unanimous,exit_reason,exit_second,judge_1,judge_2,judge_3
2026-03-11T08:25:00+00:00,139.0,DOWN,150.0,0.5,69520.01,-0.031733390860061744,0.505,0.495,DOWN,True,148.5,0.5607647818987082,True,,,DOWN,DOWN,DOWN
2026-03-11T08:35:00+00:00,80.0,UP,172.5,0.4,69691.53,0.16419385493614144,0.395,0.605,UP,True,257.025,0.9924666666666666,True,,,UP,UP,UP
2026-03-11T12:05:00+00:00,114.0,DOWN,200.0,0.5,69072.1,-0.032962605793386036,0.5,0.495,DOWN,True,198.0,0.6760746997686828,True,,,DOWN,DOWN,DOWN
2026-03-11T12:25:00+00:00,199.0,UP,200.0,0.47,69424.27,0.03401391118951068,0.45999999999999996,0.54,UP,True,223.53191489361706,0.8934100307193856,True,,,UP,UP,UP
2026-03-11T13:35:00+00:00,83.0,UP,200.0,0.5,70768.95,0.030695230993678137,0.49,0.51,UP,True,198.0,0.6366679146091464,True,,,UP,UP,UP
2026-03-11T14:20:00+00:00,225.0,UP,200.0,0.4,70514.8,0.05155230349197276,0.395,0.605,DOWN,False,-115.0,0.9759333333333333,True,"stop_loss(roi=-57.50% <= -45.12%, hold=68.0s >= 60.0s, conf=0.976, rem=7.0s, btc_entry_move=-0.0944%)",293.0,UP,UP,UP
2026-03-11T14:40:00+00:00,212.0,UP,200.0,0.52,70857.46,0.03811433989749466,0.515,0.485,UP,True,182.61538461538458,0.8363383249487528,True,,,UP,UP,UP
2026-03-11T15:00:00+00:00,115.0,DOWN,200.0,0.5,70561.15,-0.03305666163476119,0.505,0.495,DOWN,True,198.0,0.6404837365656012,True,,,DOWN,DOWN,DOWN
2026-03-11T15:10:00+00:00,71.0,DOWN,200.0,0.5,70292.33,-0.04234654440401508,0.51,0.49,DOWN,True,198.0,0.6379929132727257,True,,,DOWN,DOWN,DOWN
2026-03-11T16:35:00+00:00,155.0,UP,200.0,0.48,70751.57,0.05224559987185764,0.47,0.53,DOWN,False,-95.83333333333333,0.8765636901125043,True,"stop_loss(roi=-47.92% <= -45.78%, hold=98.0s >= 60.0s, conf=0.877, rem=47.0s, btc_entry_move=-0.1083%)",253.0,UP,UP,UP
2026-03-11T17:35:00+00:00,62.0,DOWN,200.0,0.49,70950.0,-0.04983612244180642,0.515,0.485,DOWN,True,206.16326530612247,0.8469141303309922,True,,,DOWN,DOWN,DOWN
2026-03-11T18:00:00+00:00,112.0,DOWN,200.0,0.52,70776.24,-0.036727073563189216,0.485,0.515,UP,False,-119.23076923076924,0.5572062424877687,True,"stop_loss(roi=-59.62% <= -51.37%, hold=106.0s >= 60.0s, conf=0.557, rem=82.0s, btc_entry_move=+0.0933%)",218.0,DOWN,DOWN,DOWN
2026-03-11T18:15:00+00:00,102.0,DOWN,200.0,0.52,70745.4,-0.03268331273097204,0.485,0.515,DOWN,True,182.61538461538458,0.5322493508287597,True,,,DOWN,DOWN,DOWN
2026-03-11T18:35:00+00:00,76.0,DOWN,200.0,0.51,70671.98,-0.06927554189122194,0.495,0.505,DOWN,True,190.156862745098,0.7963196437584453,True,,,DOWN,DOWN,DOWN
2026-03-11T19:10:00+00:00,140.0,DOWN,200.0,0.5,70452.98,-0.041217397922908426,0.505,0.495,UP,False,-200.0,0.751913646007991,True,,,DOWN,DOWN,DOWN
2026-03-11T19:30:00+00:00,115.0,DOWN,200.0,0.51,70500.68,-0.062628673624505,0.495,0.505,UP,False,-101.9607843137255,0.766877181518327,True,"stop_loss(roi=-50.98% <= -47.02%, hold=64.0s >= 60.0s, conf=0.767, rem=121.0s, btc_entry_move=+0.0909%)",179.0,DOWN,DOWN,DOWN
2026-03-11T20:55:00+00:00,227.0,UP,100.0,0.52,70660.52,0.0657567739693008,0.515,0.485,UP,True,91.30769230769229,0.9759333333333333,True,,,UP,UP,UP
